Y,Z
809.000000,-182.276794
555.000000,-332.268545
891.000000,441.890295
736.000000,102.837035
507.000000,-1575.488894
552.000000,-974.800711
2009.000000,378.436138
746.000000,-278.787757
857.000000,-31.069398
479.000000,-1053.101673
735.000000,106.145306
396.000000,-1130.588829
882.000000,-91.214343
727.000000,-303.447429
914.000000,23.435197
956.000000,574.949923
1164.000000,636.327013
1165.000000,543.504956
1186.000000,605.557276
1022.000000,247.513206
1476.000000,847.396772
421.000000,-1256.622767
905.000000,-91.941893
419.000000,-1561.437516
624.000000,-192.719879
757.000000,-81.719879
640.000000,-565.362111
838.000000,-507.080470
825.000000,-205.035459
677.000000,98.297560
1496.000000,863.721542
1635.000000,913.473840
455.000000,-1682.335699
864.000000,374.718720
1037.000000,-188.096028
574.000000,-636.765831
733.000000,84.846225
1142.000000,334.794847
1807.000000,1004.841739
736.000000,-314.163906
1143.000000,343.170996
770.000000,115.759967
1030.000000,486.753599
706.000000,-365.491499
782.000000,123.888414
1035.000000,571.232505
830.000000,654.088501
474.000000,-1089.510820
679.000000,257.812287
398.000000,-1509.435634
1142.000000,317.923293
592.000000,-633.107100
695.000000,-279.370361
800.000000,141.358129
725.000000,-503.516247
968.000000,129.451696
612.000000,-389.328173
1904.000000,1023.705043
578.000000,-589.020842
712.000000,-240.668501
829.000000,-348.336422
1109.000000,602.823359
829.000000,-257.548304
664.000000,-193.815328
891.000000,101.597582
477.000000,-844.263118
1221.000000,410.608654
843.000000,-276.575875
1678.000000,636.942615
911.000000,304.940733
424.000000,-1430.709966
833.000000,220.452637
832.000000,-54.240033
1203.000000,759.694912
702.000000,-906.074102
883.000000,318.871915
1132.000000,437.538895
1108.000000,614.951805
503.000000,-557.295175
542.000000,-690.662133
1171.000000,506.650842
469.000000,-808.091542
1067.000000,548.352702
603.000000,-813.526378
787.000000,-63.367538
788.000000,-227.591433
683.000000,-969.194299
830.000000,-80.822637
885.000000,447.837976
741.000000,-316.652002
1102.000000,485.556335
862.000000,158.855416
1775.000000,1033.867429
806.000000,157.050799
719.000000,-358.232724
925.000000,166.581083
708.000000,71.658151
910.000000,57.554453
828.000000,198.888414
1293.000000,531.600405
922.000000,68.512265
842.000000,182.751718
1098.000000,434.070120
701.000000,-564.447429
851.000000,596.907735
468.000000,-794.509879
923.000000,227.084737
1030.000000,465.744409
872.000000,239.674650
742.000000,201.487516
1457.000000,547.128807
1102.000000,788.302265
624.000000,-359.319923
608.000000,-587.721761
687.000000,-355.609814
1096.000000,393.769158
1105.000000,534.754540
829.000000,-219.069398
517.000000,-1319.120995
567.000000,-936.569507
508.000000,-1024.971345
1070.000000,603.993052
908.000000,390.436138
801.000000,28.794847
904.000000,380.103118
873.000000,239.291193
1107.000000,400.855416
976.000000,32.435197
648.000000,-409.635503
471.000000,-1376.991608
1034.000000,482.924234
998.000000,-104.592374
871.000000,-80.616182
789.000000,518.933424
665.000000,-276.207976
721.000000,-62.052899
622.000000,-292.883205
692.000000,-411.328173
587.000000,-779.235547
864.000000,215.315941
701.000000,-484.679573
1453.000000,429.368260
669.000000,-139.377669
517.000000,-1150.689704
1028.000000,207.496707
840.000000,425.660033
861.000000,190.384759
983.000000,234.359070
1080.000000,806.729792
888.000000,-96.240974
869.000000,208.341630
628.000000,-525.099792
504.000000,-1159.751214
529.000000,-1301.272308
620.000000,-898.432811
695.000000,-424.627254
807.000000,219.256313
1057.000000,-8.113468
858.000000,-147.480427
964.000000,605.138939
798.000000,318.283884
725.000000,249.195744
473.000000,-1047.135612
748.000000,-353.363993
529.000000,-883.595196
780.000000,-15.915263
848.000000,35.400317
908.000000,336.154497
842.000000,227.016860
1262.000000,641.412330
1055.000000,-30.685941
989.000000,274.487516
832.000000,-137.326291
681.000000,-216.822637
678.000000,-128.890514
732.000000,-330.138217
1590.000000,935.482089
846.000000,181.249004
949.000000,165.992112
807.000000,564.386641
800.000000,-228.984081
992.000000,561.300383
791.000000,294.999420
677.000000,-320.781389
1247.000000,852.951805
753.000000,-182.496926
658.000000,-376.636444
674.000000,-664.379551
980.000000,512.411389
1439.000000,985.311455
1562.000000,790.900426
991.000000,385.863665
527.000000,-706.414431
834.000000,55.477385
417.000000,-1400.590710
742.000000,-802.219048
623.000000,-332.685941
641.000000,127.880164
725.000000,16.024169
973.000000,187.590273
1023.000000,682.455459
1264.000000,794.413271
642.000000,-336.216225
783.000000,259.898545
767.000000,0.443446
936.000000,487.933424
1274.000000,705.387582
988.000000,452.778348
630.000000,-624.456619
729.000000,159.742527
568.000000,-1096.060426
831.000000,54.050799
691.000000,-164.899704
479.000000,-998.656706
718.000000,-355.619945
1021.000000,272.017801
662.000000,-241.899704
1021.000000,571.259135
597.000000,-359.594256
890.000000,356.871915
640.000000,283.411389
909.000000,441.719661
709.000000,-43.300602
1534.000000,858.482089
1140.000000,616.182068
702.000000,-248.660251
917.000000,256.957232
801.000000,-409.806138
1415.000000,824.191258
1135.000000,539.351761
990.000000,443.128807
1094.000000,325.889354
580.000000,-802.817210
801.000000,-95.104278
783.000000,-41.573993
1263.000000,605.198567
746.000000,-444.353862
1158.000000,799.660974
762.000000,67.136116
736.000000,-218.146466
759.000000,-540.268545
1171.000000,768.405022
785.000000,-29.641871
680.000000,-472.627254
847.000000,138.862724
751.000000,-233.011652
811.000000,214.794847
648.000000,-672.056663
907.000000,304.418698
972.000000,351.487516
478.000000,-1252.811783
525.000000,-777.825459
645.000000,-121.317101
1171.000000,536.240755
1287.000000,628.677472
508.000000,-649.800711
1140.000000,544.719661
958.000000,16.109486
846.000000,155.153556
872.000000,474.899486
955.000000,568.762790
564.000000,-379.165787
645.000000,-280.890514
564.000000,-538.935525
850.000000,144.282002
1219.000000,321.581083
800.000000,-175.829945
968.000000,59.349880
751.000000,53.034300
687.000000,-142.113468
644.000000,-524.553008
899.000000,8.742527
733.000000,-56.068457
677.000000,-306.096969
1025.000000,197.633403
1103.000000,-0.770317
669.000000,-443.849267
1070.000000,368.325131
822.000000,109.409508
490.000000,-1027.057603
1316.000000,772.062812
754.000000,-136.437297
1166.000000,834.456400
618.000000,-610.464868
1056.000000,349.479267
1696.000000,1072.594037
727.000000,-317.464868
657.000000,-883.680514
703.000000,-120.318982
802.000000,-37.418917
1111.000000,796.233446
1117.000000,581.848107
746.000000,-403.294234
531.000000,-685.893337
941.000000,202.325131
1054.000000,466.120558
582.000000,-625.072221
435.000000,-1308.264058
1126.000000,918.200448
883.000000,43.152615
732.000000,-504.499748
1179.000000,465.668282
1156.000000,681.130689
479.000000,-836.929157
508.000000,-633.885087
668.000000,-168.925394
902.000000,-181.241914
1279.000000,477.600405
807.000000,51.195744
2327.000000,229.307691
568.000000,-876.175919
1296.000000,524.703162
501.000000,-1213.154934
899.000000,47.622331
485.000000,-1098.102614
843.000000,-247.148348
683.000000,-559.611695
609.000000,-621.363052
643.000000,-418.551127
807.000000,154.887473
549.000000,-899.672264
916.000000,268.949923
953.000000,425.606772
816.000000,-90.522615
1122.000000,378.317823
752.000000,-948.972286
852.000000,403.393009
674.000000,-67.540055
868.000000,111.083797
898.000000,454.061871
969.000000,4.759967
905.000000,535.446269
808.000000,-306.216225
980.000000,332.709530
525.000000,-403.267604
636.000000,-330.380492
739.000000,-592.293293
1136.000000,619.950864
777.000000,-481.893337
829.000000,-286.292352
586.000000,-1161.399813
780.000000,170.546204
777.000000,223.710470
946.000000,-1410.057603
623.000000,0.707648
843.000000,-48.147407
692.000000,-303.601564
922.000000,474.795788
1433.000000,884.028873
645.000000,-201.087779
749.000000,-63.660251
493.000000,-820.748391
462.000000,-771.185109
970.000000,133.264562
1798.000000,610.027932
629.000000,-646.636444
516.000000,-953.535568
824.000000,125.554453
555.000000,-1259.153052
976.000000,106.666400
565.000000,-845.526378
988.000000,49.675591
768.000000,-162.362111
1029.000000,372.453578
714.000000,236.785657
812.000000,199.530645
993.000000,199.102177
1102.000000,699.130689
1179.000000,920.858238
1436.000000,875.977494
1127.000000,694.677472
833.000000,189.666400
915.000000,315.504956
579.000000,-262.874956
873.000000,361.188435
461.000000,-1637.325568
794.000000,139.956291
1070.000000,782.028873
809.000000,265.794847
796.000000,-146.403359
483.000000,-1067.348435
702.000000,-56.539114
1142.000000,274.905853
790.000000,-394.959332
1133.000000,459.189376
808.000000,470.958173
870.000000,336.043490
486.000000,-1337.392505
557.000000,-286.925394
813.000000,-399.259354
509.000000,-865.075043
660.000000,-661.773140
494.000000,-1167.459441
694.000000,-220.207035
909.000000,123.093928
1010.000000,427.291193
776.000000,-30.445547
715.000000,-469.413490
1473.000000,802.627035
712.000000,-138.028151
1065.000000,541.898545
772.000000,-606.021783
1140.000000,609.727910
856.000000,320.231564
752.000000,-34.411608
675.000000,-69.898764
934.000000,-345.087779
1171.000000,771.370142
690.000000,-102.148348
654.000000,-1306.992548
823.000000,238.426007
871.000000,230.332440
1285.000000,711.686663
504.000000,-969.381433
1260.000000,509.070120
693.000000,-435.096969
690.000000,-592.012593
507.000000,-755.236487
1110.000000,611.625153
1024.000000,400.753599
783.000000,-155.686882
1192.000000,578.455459
699.000000,-378.704321
726.000000,-123.129026
1005.000000,206.734278
1017.000000,270.273753
454.000000,-1233.691586
698.000000,-135.830886
724.000000,-401.643753
871.000000,327.069179
1126.000000,488.992112
929.000000,-7.266663
1172.000000,372.034300
467.000000,-1082.322746
1050.000000,86.819595
927.000000,92.076488
936.000000,389.641652
764.000000,475.018742
1146.000000,625.950864
392.000000,-1429.572330
508.000000,-848.664015
1044.000000,394.572834
729.000000,-723.252046
899.000000,407.471017
956.000000,589.882987
865.000000,268.521455
1293.000000,396.282002
1413.000000,798.985744
702.000000,11.161805
758.000000,67.981980
767.000000,-374.609814
727.000000,-250.890514
435.000000,-1375.923730
813.000000,-143.360230
709.000000,-239.457560
1228.000000,541.831608
711.000000,-118.685941
776.000000,-478.414431
709.000000,-648.055722
641.000000,-793.304365
435.000000,-1406.703599
797.000000,-145.077648
720.000000,-393.258413
559.000000,-718.330054
697.000000,-344.883205
886.000000,-67.437297
1069.000000,465.044431
599.000000,-855.279617
689.000000,-233.575875
978.000000,474.848107
706.000000,-384.448369
698.000000,-440.267604
527.000000,-851.877779
830.000000,284.298501
760.000000,80.153556
470.000000,-930.988785
680.000000,-99.292352
987.000000,135.537954
1517.000000,810.088501
704.000000,-13.385919
599.000000,-282.669442
599.000000,-773.561258
714.000000,202.930602
1401.000000,900.396772
597.000000,-234.139157
809.000000,212.460886
758.000000,29.281061
746.000000,-211.719879
746.000000,-718.952965
545.000000,-764.570448
1213.000000,550.942615
618.000000,-192.925394
1070.000000,466.548085
839.000000,329.231564
674.000000,-344.164847
663.000000,-248.079529
1005.000000,-72.608873
925.000000,-73.976772
1015.000000,89.418698
966.000000,359.770098
681.000000,63.443446
858.000000,-196.771258
728.000000,-62.326291
821.000000,-48.702440
718.000000,-96.719879
745.000000,-10.504234
825.000000,184.419639
941.000000,494.967363
754.000000,-314.446488
761.000000,-359.797888
721.000000,75.640711
889.000000,-60.224475
895.000000,329.256313
1145.000000,315.512265
761.000000,296.615022
746.000000,-79.385919
1070.000000,476.598523
1187.000000,751.635284
578.000000,-519.627254
770.000000,-134.530864
810.000000,168.436138
774.000000,-255.216225
948.000000,286.761849
917.000000,53.478326
1021.000000,660.685722
780.000000,-93.310733
625.000000,-327.523556
705.000000,-369.475000
1205.000000,835.302265
596.000000,-444.276794
1065.000000,449.549026
609.000000,-868.305306
784.000000,61.622331
1013.000000,593.044431
525.000000,-1077.169551
705.000000,-100.633621
533.000000,-796.544759
1070.000000,-1139.528260
911.000000,481.154497
1705.000000,957.576597
1789.000000,221.606772
991.000000,212.111368
702.000000,106.529705
749.000000,-406.816269
689.000000,-97.717998
828.000000,191.751718
747.000000,-125.916203
1320.000000,346.615022
888.000000,347.427888
851.000000,-323.335481
559.000000,-592.815328
788.000000,-66.804256
743.000000,-262.830886
812.000000,-85.462046
836.000000,-254.249223
670.000000,-645.080470
932.000000,176.546204
726.000000,122.144366
646.000000,-916.603446
896.000000,-6.418917
761.000000,-38.606991
895.000000,434.471017
1214.000000,739.951805
600.000000,-590.841958
725.000000,-117.077648
961.000000,136.564584
1224.000000,774.011433
737.000000,-356.275853
1175.000000,725.506838
879.000000,324.273753
815.000000,-251.676750
966.000000,522.539836
743.000000,-93.129967
1923.000000,1044.534409
913.000000,29.913162
1229.000000,527.283884
1938.000000,808.379332
581.000000,-263.908895
598.000000,-892.417253
903.000000,406.905853
753.000000,-172.148348
610.000000,-431.917144
508.000000,-361.362111
1129.000000,734.866488
767.000000,230.265503
552.000000,-612.210798
573.000000,-734.450251
466.000000,-873.092483
755.000000,-426.594256
1490.000000,813.464650
855.000000,46.135175
852.000000,265.034300
812.000000,225.632462
919.000000,638.301324
898.000000,253.188435
1057.000000,574.959114
701.000000,-515.371302
781.000000,37.546204
1263.000000,471.676532
841.000000,279.821477
1225.000000,553.079311
704.000000,-433.250164
698.000000,59.784716
1267.000000,731.823359
922.000000,274.649902
1007.000000,82.854475
799.000000,140.726969
946.000000,325.531586
705.000000,16.801215
666.000000,51.905853
908.000000,372.402199
700.000000,13.101236
691.000000,-1329.975109
634.000000,-435.482308
1144.000000,373.615963
527.000000,-812.553008
1359.000000,1011.594037
586.000000,-510.456619
915.000000,304.085678
611.000000,-394.457560
975.000000,328.948982
982.000000,568.172877
879.000000,157.273753
1181.000000,417.882046
773.000000,92.691149
897.000000,-287.627254
1197.000000,581.027932
1015.000000,162.461827
931.000000,378.410449
751.000000,-121.634562
348.000000,-1978.438456
517.000000,-809.306247
978.000000,31.357188
494.000000,-1435.905349
712.000000,-705.868588
576.000000,-915.605328
843.000000,391.051740
697.000000,188.716838
890.000000,291.086619
685.000000,-258.044650
823.000000,57.298501
1088.000000,44.930602
516.000000,-1104.836531
510.000000,-778.013534
526.000000,-856.757582
621.000000,-514.038282
742.000000,-511.354803
623.000000,-646.757582
404.000000,-1646.926553
947.000000,1.887473
558.000000,-980.057603
687.000000,-94.215284
435.000000,-1514.265940
1103.000000,331.530645
748.000000,-152.857516
922.000000,459.335262
807.000000,62.956291
876.000000,415.385700
849.000000,130.120558
1085.000000,478.471958
917.000000,41.375569
788.000000,134.862724
588.000000,-294.738260
610.000000,-291.036400
947.000000,559.838917
474.000000,-1127.964037
825.000000,-272.488676
760.000000,-136.378610
1265.000000,588.780230
528.000000,-740.774081
482.000000,-860.450251
643.000000,-258.404300
897.000000,-89.454737
786.000000,186.633403
1029.000000,412.113249
730.000000,172.146247
806.000000,301.769158
542.000000,-459.483249
682.000000,-147.695131
1558.000000,938.806860
1299.000000,595.968304
1017.000000,560.839858
854.000000,309.983862
1472.000000,832.627035
823.000000,116.819595
1280.000000,551.514147
1030.000000,20.674650
976.000000,200.231564
481.000000,-1424.966859
820.000000,-150.695131
815.000000,-696.919026
899.000000,-506.055722
611.000000,-861.057603
518.000000,-911.194299
868.000000,417.650842
697.000000,144.281061
816.000000,115.410449
859.000000,-116.138217
631.000000,-543.602505
456.000000,-1674.652220
779.000000,-214.710689
984.000000,-245.241914
684.000000,-464.370361
1185.000000,721.678413
730.000000,30.050799
1285.000000,971.653665
749.000000,-84.317101
518.000000,-892.852089
810.000000,461.129748
575.000000,-765.279617
842.000000,113.332440
694.000000,-273.796947
1378.000000,977.550908
622.000000,-97.857516
1016.000000,472.906794
517.000000,-440.354803
507.000000,-715.117231
842.000000,192.682899
831.000000,215.803096
849.000000,-34.763009
587.000000,-1437.939288
791.000000,187.640711
1069.000000,491.958173
591.000000,-290.224475
739.000000,-409.284103
668.000000,-459.609814
854.000000,-236.113468
616.000000,-498.884146
1527.000000,829.225197
729.000000,-43.173096
416.000000,-1162.527319
1732.000000,73.033359
650.000000,-345.558435
749.000000,-24.291411
762.000000,-489.183227
795.000000,39.460886
1155.000000,333.393009
947.000000,519.694912
1722.000000,955.226138
707.000000,-69.318041
778.000000,36.861783
902.000000,-8.069398
631.000000,-204.140098
910.000000,85.793906
540.000000,-908.638326
1472.000000,790.310514
880.000000,319.693971
573.000000,-663.397932
918.000000,20.443446
1032.000000,212.188435
553.000000,-966.965918
856.000000,-153.479486
1254.000000,224.333381
715.000000,-151.745569
