y,lambda_true,mean_hat,bias,sd,rmse
-3.000000,-3.000000,-2.815638,0.184362,0.183396,0.260045
-2.877551,-2.877551,-2.743868,0.133683,0.178379,0.222913
-2.755102,-2.755102,-2.668424,0.086678,0.175391,0.195640
-2.632653,-2.632653,-2.579726,0.052927,0.170309,0.178343
-2.510204,-2.510204,-2.482342,0.027863,0.166465,0.168781
-2.387755,-2.387755,-2.379336,0.008420,0.160436,0.160657
-2.265306,-2.265306,-2.267535,-0.002229,0.152327,0.152343
-2.142857,-2.142857,-2.147091,-0.004234,0.148567,0.148628
-2.020408,-2.020408,-2.025312,-0.004904,0.142142,0.142226
-1.897959,-1.897959,-1.903956,-0.005997,0.135802,0.135934
-1.775510,-1.775510,-1.780153,-0.004643,0.126745,0.126830
-1.653061,-1.653061,-1.657439,-0.004378,0.118813,0.118894
-1.530612,-1.530612,-1.536079,-0.005467,0.114682,0.114813
-1.408163,-1.408163,-1.413898,-0.005735,0.106562,0.106717
-1.285714,-1.285714,-1.293707,-0.007993,0.102627,0.102938
-1.163265,-1.163265,-1.172780,-0.009514,0.096676,0.097143
-1.040816,-1.040816,-1.049925,-0.009109,0.089889,0.090349
-0.918367,-0.918367,-0.925382,-0.007014,0.084501,0.084791
-0.795918,-0.795918,-0.802993,-0.007075,0.077340,0.077663
-0.673469,-0.673469,-0.680210,-0.006740,0.071500,0.071817
-0.551020,-0.551020,-0.556639,-0.005619,0.065365,0.065606
-0.428571,-0.428571,-0.432886,-0.004315,0.056755,0.056919
-0.306122,-0.306122,-0.309381,-0.003259,0.049013,0.049121
-0.183673,-0.183673,-0.185764,-0.002091,0.040283,0.040337
-0.061224,-0.061224,-0.062073,-0.000848,0.024637,0.024651
0.061224,0.061224,0.060762,-0.000462,0.023042,0.023047
0.183673,0.183673,0.182913,-0.000761,0.039967,0.039975
0.306122,0.306122,0.305896,-0.000227,0.048640,0.048640
0.428571,0.428571,0.430537,0.001965,0.055558,0.055592
0.551020,0.551020,0.553658,0.002638,0.062840,0.062895
0.673469,0.673469,0.676288,0.002818,0.069180,0.069237
0.795918,0.795918,0.799277,0.003359,0.074118,0.074194
0.918367,0.918367,0.923931,0.005564,0.079413,0.079608
1.040816,1.040816,1.046009,0.005192,0.084654,0.084813
1.163265,1.163265,1.167242,0.003977,0.089272,0.089361
1.285714,1.285714,1.289449,0.003735,0.097438,0.097509
1.408163,1.408163,1.411999,0.003836,0.103378,0.103449
1.530612,1.530612,1.535565,0.004953,0.108671,0.108784
1.653061,1.653061,1.659307,0.006246,0.115483,0.115652
1.775510,1.775510,1.784457,0.008947,0.119558,0.119893
1.897959,1.897959,1.908081,0.010122,0.125887,0.126293
2.020408,2.020408,2.031341,0.010933,0.135980,0.136419
2.142857,2.142857,2.154076,0.011218,0.144754,0.145188
2.265306,2.265306,2.272067,0.006761,0.151684,0.151835
2.387755,2.387755,2.387744,-0.000011,0.157208,0.157208
2.510204,2.510204,2.493000,-0.017204,0.161795,0.162707
2.632653,2.632653,2.591917,-0.040736,0.167994,0.172863
2.755102,2.755102,2.679587,-0.075515,0.172387,0.188201
2.877551,2.877551,2.756058,-0.121493,0.174171,0.212359
3.000000,3.000000,2.824075,-0.175925,0.175661,0.248609
