y,lambda_true,mean_hat,bias,sd,rmse
0.050000,-2.995732,-3.024441,-0.028709,0.209717,0.211673
0.458898,-0.778927,-0.792729,-0.013802,0.064790,0.066244
0.867796,-0.141799,-0.151500,-0.009701,0.038319,0.039528
1.276694,0.244274,0.245376,0.001102,0.037392,0.037408
1.685592,0.522117,0.521657,-0.000459,0.050060,0.050062
2.094490,0.739310,0.739621,0.000311,0.059833,0.059834
2.503388,0.917645,0.919170,0.001525,0.066567,0.066584
2.912286,1.068938,1.077429,0.008491,0.079029,0.079483
3.321184,1.200321,1.215806,0.015485,0.082818,0.084253
3.730082,1.316430,1.329801,0.013371,0.087893,0.088904
4.138980,1.420449,1.434613,0.014163,0.094439,0.095495
4.547878,1.514661,1.529903,0.015242,0.096873,0.098065
4.956776,1.600755,1.618666,0.017910,0.099828,0.101422
5.365673,1.680022,1.699157,0.019135,0.104521,0.106258
5.774571,1.753464,1.772835,0.019371,0.107824,0.109550
6.183469,1.821880,1.840810,0.018931,0.110692,0.112299
6.592367,1.885913,1.904599,0.018686,0.111441,0.112996
7.001265,1.946091,1.965983,0.019892,0.113424,0.115155
7.410163,2.002852,2.022674,0.019822,0.118674,0.120318
7.819061,2.056564,2.078359,0.021794,0.125470,0.127349
8.227959,2.107538,2.132739,0.025201,0.129770,0.132194
8.636857,2.156039,2.183129,0.027091,0.134661,0.137359
9.045755,2.202296,2.231516,0.029220,0.137223,0.140300
9.454653,2.246507,2.278069,0.031562,0.141550,0.145026
9.863551,2.288846,2.321209,0.032363,0.144225,0.147811
10.272449,2.329465,2.363334,0.033868,0.146704,0.150563
10.681347,2.368499,2.404728,0.036229,0.150817,0.155107
11.090245,2.406066,2.441931,0.035865,0.153010,0.157157
11.499143,2.442272,2.478171,0.035899,0.153647,0.157785
11.908041,2.477214,2.511547,0.034333,0.156331,0.160056
12.316939,2.510975,2.545428,0.034453,0.160328,0.163988
12.725837,2.543634,2.579235,0.035600,0.164939,0.168737
13.134735,2.575260,2.611787,0.036527,0.166293,0.170257
13.543633,2.605917,2.642927,0.037011,0.168762,0.172772
13.952531,2.635661,2.672075,0.036414,0.172947,0.176739
14.361429,2.664546,2.701022,0.036476,0.174224,0.178002
14.770327,2.692620,2.729235,0.036615,0.176813,0.180564
15.179224,2.719928,2.757848,0.037921,0.178035,0.182029
15.588122,2.746509,2.785107,0.038598,0.181071,0.185139
15.997020,2.772402,2.814798,0.042396,0.183649,0.188479
16.405918,2.797642,2.840648,0.043006,0.186049,0.190955
16.814816,2.822260,2.867874,0.045613,0.186314,0.191816
17.223714,2.846287,2.890707,0.044419,0.189764,0.194893
17.632612,2.869750,2.911728,0.041977,0.191266,0.195818
18.041510,2.892675,2.934783,0.042108,0.194799,0.199298
18.450408,2.915086,2.957331,0.042244,0.196432,0.200923
18.859306,2.937006,2.977096,0.040090,0.199539,0.203526
19.268204,2.958456,3.002034,0.043578,0.200057,0.204749
19.677102,2.979456,3.022557,0.043102,0.201485,0.206043
20.086000,3.000023,3.043369,0.043346,0.205431,0.209954
