y,lambda_true,mean_hat,bias,sd,rmse
0.050000,-2.995732,-2.280333,0.715399,0.215638,0.747192
0.458898,-0.778927,-0.914401,-0.135474,0.097139,0.166701
0.867796,-0.141799,-0.149746,-0.007947,0.018670,0.020291
1.276694,0.244274,0.242333,-0.001941,0.025086,0.025161
1.685592,0.522117,0.507308,-0.014809,0.044279,0.046689
2.094490,0.739310,0.716028,-0.023282,0.056044,0.060688
2.503388,0.917645,0.889623,-0.028022,0.064513,0.070336
2.912286,1.068938,1.038597,-0.030341,0.070878,0.077099
3.321184,1.200321,1.169324,-0.030997,0.076057,0.082131
3.730082,1.316430,1.285683,-0.030747,0.080626,0.086290
4.138980,1.420449,1.390858,-0.029591,0.084577,0.089604
4.547878,1.514661,1.486148,-0.028513,0.087883,0.092392
4.956776,1.600755,1.573678,-0.027077,0.091142,0.095079
5.365673,1.680022,1.654302,-0.025719,0.093832,0.097293
5.774571,1.753464,1.728884,-0.024580,0.096252,0.099341
6.183469,1.821880,1.798278,-0.023602,0.098479,0.101268
6.592367,1.885913,1.863487,-0.022426,0.100719,0.103185
7.001265,1.946091,1.924612,-0.021479,0.103097,0.105310
7.410163,2.002852,1.981821,-0.021031,0.105519,0.107594
7.819061,2.056564,2.036326,-0.020239,0.107850,0.109733
8.227959,2.107538,2.087618,-0.019920,0.110088,0.111876
8.636857,2.156039,2.136160,-0.019879,0.112338,0.114083
9.045755,2.202296,2.182447,-0.019848,0.114704,0.116408
9.454653,2.246507,2.226525,-0.019982,0.116925,0.118620
9.863551,2.288846,2.268797,-0.020049,0.119229,0.120903
10.272449,2.329465,2.308805,-0.020660,0.121353,0.123100
10.681347,2.368499,2.347386,-0.021113,0.123521,0.125312
11.090245,2.406066,2.384544,-0.021522,0.125968,0.127794
11.499143,2.442272,2.420367,-0.021906,0.128152,0.130010
11.908041,2.477214,2.454572,-0.022642,0.130145,0.132100
12.316939,2.510975,2.487587,-0.023389,0.132576,0.134624
12.725837,2.543634,2.519315,-0.024319,0.134831,0.137007
13.134735,2.575260,2.550059,-0.025201,0.137303,0.139597
13.543633,2.605917,2.579811,-0.026106,0.139572,0.141992
13.952531,2.635661,2.608773,-0.026887,0.141885,0.144410
14.361429,2.664546,2.636869,-0.027677,0.144138,0.146771
14.770327,2.692620,2.664181,-0.028439,0.146343,0.149081
15.179224,2.719928,2.690838,-0.029090,0.148435,0.151259
15.588122,2.746509,2.716210,-0.030299,0.150665,0.153682
15.997020,2.772402,2.741196,-0.031207,0.152491,0.155652
16.405918,2.797642,2.765847,-0.031795,0.154637,0.157872
16.814816,2.822260,2.789476,-0.032785,0.156776,0.160167
17.223714,2.846287,2.812810,-0.033478,0.158922,0.162410
17.632612,2.869750,2.835874,-0.033877,0.161671,0.165182
18.041510,2.892675,2.858076,-0.034599,0.163257,0.166883
18.450408,2.915086,2.880144,-0.034942,0.165672,0.169317
18.859306,2.937006,2.901550,-0.035456,0.167659,0.171367
19.268204,2.958456,2.922934,-0.035523,0.169855,0.173530
19.677102,2.979456,2.943507,-0.035949,0.172079,0.175794
20.086000,3.000023,2.963498,-0.036525,0.173878,0.177673
