y,lambda_true,mean_hat,bias,sd,rmse
-2.178000,-2.997381,-2.624176,0.373205,0.177140,0.413111
-2.089102,-2.508971,-2.334068,0.174903,0.161424,0.238010
-2.000204,-2.100082,-2.054580,0.045502,0.146302,0.153214
-1.911306,-1.757755,-1.788773,-0.031019,0.131935,0.135533
-1.822408,-1.471139,-1.538497,-0.067358,0.118444,0.136257
-1.733510,-1.231151,-1.306521,-0.075371,0.106456,0.130437
-1.644612,-1.030184,-1.095312,-0.065129,0.095278,0.115411
-1.555714,-0.861868,-0.906898,-0.045031,0.084571,0.095813
-1.466816,-0.720869,-0.743448,-0.022579,0.074109,0.077472
-1.377918,-0.602717,-0.606771,-0.004054,0.063493,0.063622
-1.289020,-0.503669,-0.496880,0.006788,0.052891,0.053325
-1.200122,-0.420584,-0.410616,0.009968,0.043327,0.044459
-1.111224,-0.350829,-0.344285,0.006545,0.035521,0.036118
-1.022327,-0.292194,-0.292408,-0.000213,0.029567,0.029567
-0.933429,-0.242820,-0.251194,-0.008373,0.024902,0.026272
-0.844531,-0.201142,-0.216963,-0.015821,0.021292,0.026526
-0.755633,-0.165840,-0.187650,-0.021811,0.018372,0.028517
-0.666735,-0.135793,-0.161461,-0.025667,0.015925,0.030206
-0.577837,-0.110051,-0.137295,-0.027245,0.013427,0.030373
-0.488939,-0.087796,-0.114561,-0.026765,0.011404,0.029093
-0.400041,-0.068324,-0.092630,-0.024306,0.009457,0.026080
-0.311143,-0.051018,-0.071385,-0.020367,0.007576,0.021730
-0.222245,-0.035329,-0.050749,-0.015420,0.005753,0.016458
-0.133347,-0.020759,-0.030387,-0.009628,0.003921,0.010396
-0.044449,-0.006847,-0.010117,-0.003269,0.001944,0.003804
0.044449,0.006847,0.010098,0.003251,0.002045,0.003840
0.133347,0.020759,0.030129,0.009370,0.004060,0.010212
0.222245,0.035329,0.050545,0.015216,0.005889,0.016316
0.311143,0.051018,0.071129,0.020111,0.007698,0.021534
0.400041,0.068324,0.092210,0.023885,0.009560,0.025727
0.488939,0.087796,0.113887,0.026091,0.011468,0.028500
0.577837,0.110051,0.136488,0.026437,0.013424,0.029650
0.666735,0.135793,0.160514,0.024721,0.015757,0.029316
0.755633,0.165840,0.186543,0.020703,0.018227,0.027583
0.844531,0.201142,0.215763,0.014620,0.021041,0.025622
0.933429,0.242820,0.249687,0.006866,0.024344,0.025294
1.022327,0.292194,0.290525,-0.001669,0.028536,0.028584
1.111224,0.350829,0.341764,-0.009066,0.033905,0.035096
1.200122,0.420584,0.407642,-0.012942,0.040985,0.042979
1.289020,0.503669,0.492955,-0.010714,0.050111,0.051243
1.377918,0.602717,0.602309,-0.000408,0.060966,0.060967
1.466816,0.720869,0.738502,0.017633,0.071994,0.074122
1.555714,0.861868,0.901643,0.039775,0.083401,0.092400
1.644612,1.030184,1.090279,0.060096,0.094827,0.112266
1.733510,1.231151,1.302284,0.071134,0.107390,0.128813
1.822408,1.471139,1.534678,0.063539,0.120246,0.136001
1.911306,1.757755,1.785878,0.028123,0.134788,0.137691
2.000204,2.100082,2.053311,-0.046771,0.149278,0.156434
2.089102,2.508971,2.334826,-0.174144,0.165228,0.240056
2.178000,2.997381,2.628014,-0.369367,0.182392,0.411945
