y,lambda_true,mean_hat,bias,sd,rmse
0.050000,-2.995732,-2.815786,0.179947,0.185025,0.258099
0.458898,-0.778927,-0.786789,-0.007862,0.076753,0.077155
0.867796,-0.141799,-0.143646,-0.001848,0.036047,0.036094
1.276694,0.244274,0.243685,-0.000589,0.045989,0.045993
1.685592,0.522117,0.524517,0.002400,0.061038,0.061085
2.094490,0.739310,0.742438,0.003128,0.071032,0.071101
2.503388,0.917645,0.923060,0.005415,0.079388,0.079573
2.912286,1.068938,1.073983,0.005044,0.085356,0.085505
3.321184,1.200321,1.204419,0.004098,0.092008,0.092099
3.730082,1.316430,1.319713,0.003283,0.098724,0.098779
4.138980,1.420449,1.424225,0.003775,0.102396,0.102466
4.547878,1.514661,1.519003,0.004342,0.106462,0.106550
4.956776,1.600755,1.605772,0.005017,0.111624,0.111737
5.365673,1.680022,1.686552,0.006530,0.115466,0.115651
5.774571,1.753464,1.761233,0.007769,0.118189,0.118444
6.183469,1.821880,1.831854,0.009974,0.121391,0.121800
6.592367,1.885913,1.895787,0.009874,0.125282,0.125671
7.001265,1.946091,1.955759,0.009668,0.128272,0.128636
7.410163,2.002852,2.012504,0.009651,0.133908,0.134255
7.819061,2.056564,2.067345,0.010781,0.138231,0.138650
8.227959,2.107538,2.118385,0.010847,0.141523,0.141938
8.636857,2.156039,2.165792,0.009753,0.145900,0.146226
9.045755,2.202296,2.209576,0.007280,0.147463,0.147643
9.454653,2.246507,2.253030,0.006523,0.149716,0.149858
9.863551,2.288846,2.294453,0.005606,0.153737,0.153839
10.272449,2.329465,2.331774,0.002308,0.154459,0.154477
10.681347,2.368499,2.367946,-0.000553,0.157014,0.157015
11.090245,2.406066,2.402886,-0.003180,0.158167,0.158199
11.499143,2.442272,2.435529,-0.006743,0.159717,0.159859
11.908041,2.477214,2.465302,-0.011912,0.161092,0.161532
12.316939,2.510975,2.493353,-0.017622,0.161809,0.162765
12.725837,2.543634,2.522440,-0.021194,0.163139,0.164510
13.134735,2.575260,2.547279,-0.027981,0.164061,0.166430
13.543633,2.605917,2.572156,-0.033760,0.164823,0.168245
13.952531,2.635661,2.593884,-0.041777,0.167509,0.172640
14.361429,2.664546,2.615722,-0.048824,0.169761,0.176643
14.770327,2.692620,2.636391,-0.056229,0.170707,0.179729
15.179224,2.719928,2.654559,-0.065369,0.171307,0.183355
15.588122,2.746509,2.673980,-0.072530,0.171704,0.186394
15.997020,2.772402,2.689404,-0.082999,0.172172,0.191134
16.405918,2.797642,2.705999,-0.091643,0.171569,0.194511
16.814816,2.822260,2.722163,-0.100097,0.173313,0.200142
17.223714,2.846287,2.735258,-0.111029,0.173694,0.206148
17.632612,2.869750,2.750678,-0.119072,0.172590,0.209680
18.041510,2.892675,2.765392,-0.127283,0.175512,0.216807
18.450408,2.915086,2.777988,-0.137099,0.175198,0.222464
18.859306,2.937006,2.788828,-0.148179,0.172473,0.227385
19.268204,2.958456,2.802624,-0.155832,0.174282,0.233790
19.677102,2.979456,2.813779,-0.165677,0.174312,0.240486
20.086000,3.000023,2.823621,-0.176402,0.175158,0.248592
