y,lambda_true,mean_hat,bias,sd,rmse
-2.178000,-2.997381,-3.026609,-0.029228,0.210489,0.212509
-2.089102,-2.508971,-2.531690,-0.022720,0.170455,0.171963
-2.000204,-2.100082,-2.123056,-0.022974,0.136705,0.138622
-1.911306,-1.757755,-1.781251,-0.023496,0.119312,0.121604
-1.822408,-1.471139,-1.493608,-0.022469,0.105517,0.107883
-1.733510,-1.231151,-1.259693,-0.028543,0.090868,0.095246
-1.644612,-1.030184,-1.048850,-0.018666,0.081189,0.083307
-1.555714,-0.861868,-0.877193,-0.015326,0.069241,0.070917
-1.466816,-0.720869,-0.734526,-0.013657,0.062821,0.064288
-1.377918,-0.602717,-0.615835,-0.013118,0.058802,0.060248
-1.289020,-0.503669,-0.517436,-0.013768,0.053908,0.055638
-1.200122,-0.420584,-0.431763,-0.011179,0.051768,0.052961
-1.111224,-0.350829,-0.361849,-0.011019,0.048774,0.050003
-1.022327,-0.292194,-0.303812,-0.011618,0.046359,0.047792
-0.933429,-0.242820,-0.254569,-0.011749,0.044384,0.045912
-0.844531,-0.201142,-0.212079,-0.010937,0.042926,0.044298
-0.755633,-0.165840,-0.175423,-0.009583,0.040117,0.041246
-0.666735,-0.135793,-0.145867,-0.010074,0.038448,0.039746
-0.577837,-0.110051,-0.121450,-0.011399,0.036044,0.037804
-0.488939,-0.087796,-0.100204,-0.012408,0.034709,0.036860
-0.400041,-0.068324,-0.080578,-0.012254,0.033683,0.035843
-0.311143,-0.051018,-0.066039,-0.015021,0.031410,0.034817
-0.222245,-0.035329,-0.052244,-0.016915,0.030316,0.034716
-0.133347,-0.020759,-0.036662,-0.015903,0.030346,0.034260
-0.044449,-0.006847,-0.012803,-0.005956,0.022711,0.023479
0.044449,0.006847,0.011302,0.004455,0.018763,0.019285
0.133347,0.020759,0.024796,0.004037,0.019955,0.020360
0.222245,0.035329,0.038780,0.003452,0.022452,0.022716
0.311143,0.051018,0.052682,0.001664,0.022804,0.022865
0.400041,0.068324,0.070201,0.001877,0.023169,0.023245
0.488939,0.087796,0.087508,-0.000288,0.025146,0.025147
0.577837,0.110051,0.109748,-0.000303,0.028926,0.028927
0.666735,0.135793,0.135684,-0.000109,0.030274,0.030275
0.755633,0.165840,0.166109,0.000269,0.032238,0.032239
0.844531,0.201142,0.202067,0.000925,0.034366,0.034379
0.933429,0.242820,0.243761,0.000941,0.037273,0.037285
1.022327,0.292194,0.293072,0.000878,0.040614,0.040623
1.111224,0.350829,0.350593,-0.000236,0.043985,0.043986
1.200122,0.420584,0.420335,-0.000249,0.046126,0.046127
1.289020,0.503669,0.503248,-0.000421,0.048831,0.048833
1.377918,0.602717,0.602310,-0.000407,0.056102,0.056103
1.466816,0.720869,0.720665,-0.000203,0.059790,0.059791
1.555714,0.861868,0.864204,0.002336,0.064904,0.064946
1.644612,1.030184,1.035326,0.005143,0.075852,0.076026
1.733510,1.231151,1.245769,0.014619,0.083969,0.085232
1.822408,1.471139,1.486302,0.015163,0.097158,0.098334
1.911306,1.757755,1.777190,0.019436,0.107989,0.109724
2.000204,2.100082,2.124505,0.024423,0.129306,0.131592
2.089102,2.508971,2.542672,0.033702,0.160314,0.163818
2.178000,2.997381,3.041051,0.043670,0.204483,0.209094
